# cec_bench v1.0+46074dd  2026-06-13T16:34:06
===BURST_CSV_BEGIN===
# stream: 2048 frames in 126064 us (~16.2 kSPS link), 472 underruns, dropcount 0->0 (0 lost); nominal 25 kSPS
us,drop,i3,i4,i5,vrail,vcc,i8
12960.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
13040.0,0,0.0979,0.1014,0.1111,12.0043,4.8257,0.0959
13080.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
13120.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
13200.0,0,0.1116,0.1319,0.1355,12.0034,4.8285,0.1264
13240.0,0,0.1788,0.2021,0.2072,12.0034,4.8291,0.1905
13280.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
13320.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
13400.0,0,0.1910,0.2173,0.2240,12.0008,4.8279,0.2027
13440.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
13480.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
13560.0,0,0.2291,0.2524,0.2576,12.0000,4.8270,0.2409
13600.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
13640.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
13720.0,0,0.1635,0.1868,0.1889,12.0000,4.8270,0.1676
13760.0,0,0.2123,0.2311,0.2423,12.0000,4.8267,0.2210
13800.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
13840.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
13920.0,0,0.2200,0.2463,0.2484,11.9982,4.8270,0.2317
13960.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
14000.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
14080.0,0,0.1986,0.2326,0.2286,11.9982,4.8303,0.2073
14120.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
14160.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
14240.0,0,0.1070,0.1181,0.1233,12.0008,4.8322,0.1142
14280.0,0,0.0903,0.1090,0.1080,12.0017,4.8322,0.0975
14320.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
14360.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
14440.0,0,0.0887,0.0892,0.0928,12.0034,4.8318,0.0852
14480.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
14520.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
14600.0,0,0.0872,0.0907,0.0943,12.0043,4.8318,0.0883
14640.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
14680.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
14760.0,0,0.0750,0.0876,0.0867,12.0043,4.8315,0.0807
14800.0,0,0.0994,0.1120,0.1080,12.0034,4.8315,0.1066
14840.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
14880.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
14960.0,0,0.2795,0.2967,0.3003,12.0026,4.8239,0.2912
15000.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
15040.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
15120.0,0,0.2322,0.2692,0.2713,11.9991,4.8230,0.2455
15160.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
15200.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
